x(cm)	y(cm)
0.00	25.48
0.70	26.10
1.41	26.59
2.11	27.17
2.82	27.92
3.52	29.00
4.01	30.92
3.52	32.52
2.82	33.12
2.11	33.33
1.41	33.33
0.70	33.12
0.00	32.52
-0.70	33.12
-1.41	33.33
-2.11	33.33
-2.82	33.12
-3.52	32.52
-4.01	30.92
-3.52	29.00
-2.82	27.92
-2.11	27.17
-1.41	26.59
-0.70	26.10
